Response Time,AQI,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3
2021-02-07 06:00:00,Very Poor,567.44,0,8.74,59.37,3.07,57.6,63.92,8.99
2021-02-07 05:00:00,Very Poor,587.46,0,8.31,62.94,3.52,62.31,69.16,7.85
2021-02-07 04:00:00,Very Poor,614.17,0,8.23,66.52,3.87,69.3,76.92,7.22
2021-02-07 03:00:00,Very Poor,700.95,0,10.2,60.08,2.95,82.23,92.02,7.28
2021-02-07 02:00:00,Very Poor,754.36,0,11.65,58.65,2.77,96.16,107.73,8.36
2021-02-07 01:00:00,Very Poor,774.38,0,12.68,65.8,4.89,115.49,128.38,9.5
2021-02-07 00:00:00,Very Poor,847.82,0,16.45,62.94,6.5,139.29,155.41,12.29
2021-02-06 23:00:00,Very Poor,867.84,0,18.17,68.67,7.87,143.07,161.03,18.49
2021-02-06 22:00:00,Very Poor,847.82,0,17.82,76.53,8.46,131.58,149.29,25.08
2021-02-06 21:00:00,Very Poor,767.71,0,15.77,86.55,8.58,110.35,125.71,27.87
2021-02-06 20:00:00,Very Poor,680.92,0,13.02,98.71,7.99,88.64,100.97,25.84
2021-02-06 19:00:00,Very Poor,580.79,0,9.34,114.44,7.03,73.54,82.62,21.28
2021-02-06 18:00:00,Very Poor,507.36,0.01,6.51,121.59,5.42,62.5,69.5,16.97
2021-02-06 17:00:00,Very Poor,460.63,0.12,4.63,128.75,4.65,54.71,60.37,13.81
2021-02-06 16:00:00,Poor,407.22,0.17,2.59,141.62,4.89,48.17,52.43,9.37
2021-02-06 15:00:00,Poor,363.83,0.12,1.36,147.34,4.89,41.92,45.31,6.08
2021-02-06 14:00:00,Poor,343.8,0.14,1.24,143.05,4.59,38.27,41.48,5.76
2021-02-06 13:00:00,Poor,380.52,0.17,1.54,148.77,5.01,47.86,51.86,6.65
2021-02-06 12:00:00,Very Poor,587.46,0.35,3.43,154.5,5.36,99.08,108.24,13.3
2021-02-06 11:00:00,Very Poor,607.49,0.63,5.36,134.47,5.01,99.62,108.79,12.54
2021-02-06 10:00:00,Very Poor,627.52,1.27,8.82,100.14,3.99,93.45,102.86,11.65
2021-02-06 09:00:00,Very Poor,894.55,12.63,15.08,14.31,1.64,92.41,110.93,23.31
2021-02-06 08:00:00,Very Poor,807.76,12.63,11.48,2.08,1.34,89.36,105.78,17.48
2021-02-06 07:00:00,Very Poor,761.03,8.72,11.82,0.17,1.01,90.13,104.09,15.71
2021-02-06 06:00:00,Very Poor,787.74,6.99,12.51,0.2,0.76,93.45,106.7,15.83
2021-02-06 05:00:00,Very Poor,867.84,6.54,13.71,0.22,0.67,97.5,112.02,14.19
2021-02-06 04:00:00,Very Poor,1001.36,6.87,16.62,0.18,0.66,105.74,123.51,13.43
2021-02-06 03:00:00,Very Poor,1201.63,7.49,21.08,0.12,0.71,118.94,142.53,14.31
2021-02-06 02:00:00,Very Poor,1388.55,6.93,27.08,0.11,0.85,133.08,164.12,16.09
2021-02-06 01:00:00,Very Poor,1522.06,5.48,31.87,0.23,1.15,143.79,182.29,18.49
2021-02-06 00:00:00,Very Poor,1588.82,3.21,33.93,0.94,1.73,148.97,193.54,22.8
2021-02-05 23:00:00,Very Poor,1548.77,1.2,31.87,3.44,2.38,142.74,189.18,29.13
2021-02-05 22:00:00,Very Poor,1401.9,0.47,28.45,6.97,2.74,126.73,170.39,36.48
2021-02-05 21:00:00,Very Poor,1228.33,0.15,26.05,12.16,2.95,109.24,147.84,48.64
2021-02-05 20:00:00,Very Poor,1041.41,0.02,22.96,22.17,2.95,92.93,123,52.18
2021-02-05 19:00:00,Very Poor,841.14,0,18.51,35.05,2.71,77.84,99.59,43.57
2021-02-05 18:00:00,Very Poor,707.63,0.06,14.4,47.92,2.44,67.11,82.49,33.95
2021-02-05 17:00:00,Very Poor,600.82,0.62,10.11,67.23,2.38,58.54,69.06,25.59
2021-02-05 16:00:00,Poor,473.98,0.52,4.84,95.84,2.33,49.87,55.94,15.07
2021-02-05 15:00:00,Poor,397.21,0.12,1.15,123.02,2.41,46.32,49.83,6.33
2021-02-05 14:00:00,Poor,410.56,0.13,1.13,124.45,2.83,49.9,53.64,6.27
2021-02-05 13:00:00,Very Poor,480.65,0.17,1.46,135.9,3.82,64.86,69.91,7.6
2021-02-05 12:00:00,Very Poor,767.71,0.42,4.03,154.5,3.87,120.14,132.17,17.23
2021-02-05 11:00:00,Very Poor,747.68,0.73,5.66,125.89,3.67,116.12,127.73,14.82
2021-02-05 10:00:00,Very Poor,754.36,1.33,8.05,91.55,3.31,113.39,125.26,13.05
2021-02-05 09:00:00,Very Poor,894.55,2.99,12.34,40.05,1.86,119.95,136.23,14.57
2021-02-05 08:00:00,Very Poor,894.55,1.4,14.74,21.82,1.36,119.64,135.42,10.51
2021-02-05 07:00:00,Very Poor,854.49,0.06,14.74,21.99,0.97,119.7,133.56,7.92
2021-02-05 06:00:00,Very Poor,827.79,0.01,13.2,28.97,0.72,119.01,131.2,7.41
2021-02-05 05:00:00,Very Poor,807.76,0,12,37.19,0.69,117.6,128.93,6.59
2021-02-05 04:00:00,Very Poor,801.09,0,11.31,45.78,0.78,119.29,130.25,5.89
2021-02-05 03:00:00,Very Poor,807.76,0,11.65,51.5,0.91,122.8,134.2,5.95
2021-02-05 02:00:00,Very Poor,821.11,0,13.02,54.36,1.09,128.48,141.13,6.33
2021-02-05 01:00:00,Very Poor,841.14,0,14.74,60.08,1.33,135.15,149.29,6.84
2021-02-05 00:00:00,Very Poor,867.84,0,16.45,71.53,1.67,142.56,158.32,8.49
2021-02-04 23:00:00,Very Poor,881.2,0,16.62,88.69,2.12,145.22,161.91,12.29
2021-02-04 22:00:00,Very Poor,867.84,0,14.91,105.86,2.44,135.53,151.52,17.48
2021-02-04 21:00:00,Very Poor,847.82,0,13.71,110.15,2.68,119.93,135.1,23.56
2021-02-04 20:00:00,Very Poor,807.76,0,12.51,104.43,2.98,105.12,119.24,25.84
2021-02-04 19:00:00,Very Poor,734.33,0,10.8,101.57,3.13,93.32,105.69,24.32
2021-02-04 18:00:00,Very Poor,660.9,0.02,8.74,104.43,3.04,82.98,93.28,20.77
2021-02-04 17:00:00,Very Poor,587.46,0.22,6.17,117.3,2.83,74.3,82.66,16.21
2021-02-04 16:00:00,Very Poor,507.36,0.26,3.3,130.18,2.77,64.8,70.91,10.64
2021-02-04 15:00:00,Very Poor,473.98,0.15,1.56,138.76,2.86,62.51,67.49,6.84
2021-02-04 14:00:00,Very Poor,494,0.15,1.39,138.76,3.01,68.78,74.14,6.97
